정장	正裝; парадная (полная) форма
울리다	звучать; раздаваться (о звуках); заставлять плакать; волновать; заставлять звучать; 심금을 울리는 이야기 трогательный рассказ; 종이 울린다 Колокол звонит
환기	환기 喚起; привлечение; ~하다 привлекать; вызывать; пробуждать; поднимать на что; ; 환기 換氣; вентиляция; проветривание; ~하다 проветривать; вентилировать; ~가 좋은 хорошо вентилируемый (проветривающийся); ~ 장치 вентиляционное устройство
매다	1. завязывать; связывать; привязывать; держать; крутить; 파란 넥타이를 ~ завязывать синий галстук; 목을 ~ повеситься; 2. полоть; пропалывать; 김을 ~ полоть гряды
멍청하다	~하다 растерянный; ошеломлённый; глупый
목수	목수 木手; = 목공; ; 목수 木髓; = 고갱이
무렵	время; момент; пора; 그 ~에 тогда; в те времена; 바로 이 ~에 как раз в это время; 동틀 ~에 к рассвету; 저녁 ~에 к вечеру; 일이 끝날 ~에 когда заканчивали работу; 1990년 ~부터 примерно с 1990 года
의학	의학 醫學; медицина
서적	서적 書籍; книга
꽉	крепко; сильно; до предела; полностью; 생각이 머리에 ~ 차다 Голова забита мыслями.; 숨이 ~ 막히다 дыхание сперло; 가방에 책을 ~ 채우다 набивать портфель книгами
소박하다	소박 疏薄; ~하다 не любить жену; пренебрежительно относиться (к жене); 소박 素朴; ~하다 простой; безыскусственный; наивный
둥글다	круглый; становиться круглым; округляться; 둥근 얼굴 круглое лицо; 둥글게 하다 округлять
따위	подобный чему-либо; типа чего-либо; 너 ~ такие как ты, ты и тебе подобные
접시	тарелка; блюдце
윤곽	윤곽 輪廓; очертание; контуры; очерк; ~을 그리다 нарисовать контуры
돌돌	~말다 скатывать в трубочку
말리다	1. сушить; высушивать; вялить; 2. отговаривать; не советовать; унимать; разнимать; оберегать
충고	충고 忠告; совет; ~하다 советовать
맹세	맹세 ←盟誓; клятва; ~하다давать клятву
새우다	не спать ночью; 공부로 밤 ~ заниматься всю ночь
핑계	предлог; повод; оправдание; ~하다 (~를 대다) находить предлог; ссылаться на что; ~ 없는 무덤이 없다 избегать ответственности, ссылаясь на что; 제법 그럴싸한 ~를 대어 под благовидным предлогом
자그마하다	~하다 небольшой; невысокий; крохотный
육중	육중 肉重; ~하다 громоздкий; массивный; грузный; ~한 몸집 грузное тело; ~한 설비 массивное оборудование
철문	철문 鐵門; железная дверь
여느	обычный; обыденный; другой (другие)
고함	고함 高喊; громкий крик; ~(을) 지르다 громко кричать; орать; ~(을) 치다 истошно кричать
지르다	кричать; громко петь; с силой ударять; ткнуть; пнуть; втыкать; вонзать; вставлять; всовывать; закрывать дверь на засов; разводить; идти напрямик; 고함을~ кричать; 발로 정강이를~ ударить кого по ногам; 빗장을 ~ запирать дверь на засов; 집에 불을~ поджигать дом; 질러가는 길이 돌아가는 길이다 Тише едешь - дальше будешь.
걸걸	~하다 сильный; ~한 목소리 сильный голос
기세	기세 氣勢; дух; сила духа; ~가 등등하다 торжествующий; исполненный гордости собственной мощью; ~가 충천하다 быть полным энтузиазма; окрыляться; воодушевляться
켜지다	크다 + 지다
점차	점차 漸次; постепенно; понемногу; мало-помалу; шаг за шагом
장치	장치 裝置; оборудование; устройство; аппарат; ~하다 устраивать; устанавливать; оборудовать; 안정~ предохранитель
고정	고정 固定; закрепление; фиксация; ~적 фиксированный; устойчивый; стабильный; постоянный ; ~하다 фиксировать; закреплять; делать устойчивым (стабильным); ~불변 постоянство и неизменность; ~가격 стабильные цены; ~관념 стереотип; устойчивое мышление; навязчивая идея; идея фикс; ~목표 неподвижная цель; ~수입 постоянный доход; 자본 основной капитал; ~자산 недвижимость
용도	용도 用途; применение; назначение (предмета); использование; ~가 넓다 широко применяться (использоваться); употребляться для разных нужд
가까스로	едва; с трудом; насилу; ~ 싸움을 말렸다 с трудом остановил драку
맞추다	1. (조립하다) собирать; монтировать; 기계를 ~ собрать механизм (машину); 자동차를 ~ собрать автомобиль; 분해해던 시계를 ~ пересобрать часы ; 2. (맞게 하다) делать правильно; корректно; привести в порядок; 계산을 ~ исправить вычисления; 3. (적합하게 하다) подогнать; делать по вкусу; подходить; годный; пригодный; соответствующий; надлежащий; 음악에 맞추어 춤추다 танцевать под музыку; 안경 도수를 ~ подогнать точность очков; 간을 ~ придавать чему острый (солёный) вкус; 맛을 ~ придавать надлежащий вкус; 4. (주문하다) заказать; 맞추어 만든 сделанный на заказ; 구두를 ~ заказать туфли; 5. (약속하다) обещать; договариваться; 날짜를 ~ договориться о дате; 6. (알아맞히다) догадываться; полагать; предполагать; разгадывать; 나 어디 있는지 맞춰 봐! попробуй догадаться, где я!; 제 생일 선물로 뭘 사셨어요?―한번 맞춰 봐라 Что ты купил мне на день Рождения? Попробуй угадать.; 7. (대조하다) сравнивать; сопоставлять; сличать; сверять; 맞추어 보다 сличать; сверять; 원문과 ~ сравнивать с оригиналом; 8. 입을 ~ (по)целовать
비기다	сыграть (закончиться) вничью; составлять баланс
마음먹다	решиться на что-л.
대담	대담 大膽; ~ 성 смелость; отвага; дерзость; ~스럽다; ~하다 смелый; отважный; дерзкий; 대담무쌍하다 бесстрашный; беспримерно отважный; ; 대담 對談; беседа; ~하다 беседовать; 격의 없는 задушевный разговор
성과	성과 成果; результат; достижение; успех; ~를 거두다 достигнуть результата; ~를 올리다 пользоваться успехом; 그의 ~는 우리들의 ~에 비하면 빛이 나지 않는다 Их успехи бледнеют перед нашими.
겸비	겸비 兼備; ~하다 сочетаться; совмещать(ся); 재색(才色)을 ~하다 сочетать ум и красоту
겪다	испытывать; переносить; терпеть; угощать
꺼지다	1. потухать; гаснуть; 2. исчезать; 3. проваливаться; 불이~ гаснуть (огонь); 꺼져라! Проваливай!; Пошёл к черту!; ; 꺼지다 ; проваливаться; оседать;; ввалиться; впадать; 마룻바닥이~ пол проваливается; 눈이 움푹~ глаза ввалились
칠흑	pitch-black; coal-black; jet-black.
광채	광채 光彩; блеск; сияние; ~가 나다 блестящий
번뜩	with a flash.
정면	정면 正面; фронт; фасад; передний; ...의 ~에 перед чем; впереди чего
등대	등대 燈臺; маяк
노릇	роль; функция; занятие; работа; жалкое (бедное) положение; 목수 ~을 하다 работать столяром, ; 주인 ~을 하다 хозяйничать; 저런 딱한 ~이 있나 Какая беда (бедствие)!; 참 교육자 ~을 하기란 쉽지 않은 일이다. Быть настоящим педагогом - нелёгкое дело.
허물	недостаток; дефект; промах; ошибка; проступок; вина; ~을 벗다 смывать позор
형체	형체 形體; форма; фигура; корпус; остов
뛰어나오다	выбегать из ..
동요	동요 動搖; колебания; волнения; колебание; нерешительность; неустойчивость; флуктуация (флюктуация); ~하는 колеблющийся; нерешительный; неустойчивый; ~하다 колебаться; волноваться; не решаться; флуктуировать; ~없이 без колебаний; 민중의 ~ народные волнения; 사상의 ~ брожение идей; ; 동요 童謠; песня для детей; детская песня; ~ 경연대회에 참가하다 участвовать в конкурсе песен для детей; ~를 부르다 петь детскую песню
애완동물	любимый питомец
습격	습격 襲擊; налёт; штурм; нападение; ~하다 нападать; атаковать; штурмовать; совершить налёт; ~ 당하다 подвергаться налёту (нападению)
바짝	#NAME?
간신히	간신히 艱辛－; едва; с трудом; ~ 이기다 с трудом победить; ~ 먹고 살아가다 с трудом выживать
대비	대비 對備; подготовка; ~하다 подготовиться; 만반의 ~를 하다 подготовиться на всякий случай; 사전에 시험에 ~하다 заранее подготовиться к экзаменам; ; 대비 對比; сопоставление; сравнение; контраст; ~하다 сопоставлять с кем-чем; сравнивать с кем-чем; контрастировать кому-чему (с кем-чем); 사본을 원본과 ~하다 сопоставлять копию с подлинником; 사신의 의견을 다른 사람과 ~하다 сравнивать свое мнение с другим
지팡이	трость; посох
양초	양초 洋－; парафиновая свеча; ~ 심지 фитиль
이내	이내 以內; в пределах чего; не свыше; 다섯시 ~에 не позже пяти часов; 삼십일 ~에 в течение тридцати дней
캄캄하다	~하다 очень тёмный; мрачный; беспросветный; слабый; незнающий; тёмный; невежественный
쉽사리	легко; 문제를 ~풀다 легко решить задачу
차단	차단 遮斷; перехват; помеха; изоляция; карантин; ~하다 загораживать; отключать; отрезать от кого-чего; перехватить; прерывать; заслонить; 퇴로를 ~하다 отрезать путь к отступлению
실낱	отдельная нитка; ~같다 очень тоненький; ~같은 한 가닥 희만 едва теплящаяся (слабая) надежда; ~같은 목소리로 속삭이다 шептать тоненьким голосом
음색	음색 音色; тембр; тон
덮개	1. покрывало; накидка; 2. крышка
인기척	인기척 人－; признаки присутствия кого; ~이 났다 появились признаки присутствия человека
주전자	주전자 酒煎子; чайник
수증기	수증기 水蒸氣; водяной пар
환하다	яркий; светлый; ясный; явный очевидный; открытый; широко простирающийся; свежий; гладкий; освежающий; прохладный; знакомый; осведомлённый
쏘다	ныть; ломить; жалить; задевать; говорить колкости; пронизывать взглядом; сбивать (самолёт); 나는 꿀벌에게 심하게 쏘였다 Пчела больно меня ужалила.; 이가 쏜다 Зубы ноют.; ...의 아픈 곳을 ~ задевать кого за живое
혐오	혐오 嫌惡; отвращение; ненависть; ~하다 ненавидеть; ~의 감정을 품다 питать ненависть к кому-чему; ~한(~스러운) ненавистный; отвратительный; гнусный; омерзительный; гадкий
동작	동작 動作; движение; действие; ~하다 двигаться; действовать; быть в действии; 손~ движение рук
소름	мурашки; ~끼치다 мурашки бегают по спине; мороз по коже пробирает; ~이 돋다 покрыться мурашками
분노	분노 忿怒·憤怒; гнев; негодование; ~하다 негодовать; гневаться
온몸	все тело; ~몸이 떨리다 дрожать всем телом; ~몸에 по всему телу
절규	절규 絶叫; громкий крик; вопль; ~하다 громко кричать о чём; вопить о чём
변두리	변두리 邊－; край; окраина
얼다	замерзать; коченеть (от холода); падать духом; становиться застенчивым (неловким); 얼어붙은 леденистый; 강물이 얼어붙었다 Река покрылась льдом; 내 손은 방안에서 도 언다 Руки у меня замерзают даже в комнате.; 두려움에 심장이 얼어붙는 것 같다 Ужас леденит сердце.; 물이 얼기 시작하다 Вода начинает замерзать.; 바람에 몸이 얼어붙었다 Ветер холодит тело.
심정	심정 心情; душа; сердце; 나는 그의 ~을 모르겠다 Я не знаю, что у него на душе.; 자신의 ~을 털어놓다 открывать кому своё сердце; изливать душу
마주	прямо; лицом к лицу; друг к другу; навстречу; взаимно; ~ 가다 идти навстречу; 손을 ~ 잡다 обмениваться рукопожатиями
응답	응답 應答; ответ; отклик; реакция; ~하다 откликаться; отвечать
발사	발사 發射; выстрел; стрельба; пальба; запуск; ~하다 стрелять; палить; вести огонь; запускать; 로켓을 ~하다 запускать ракету; ~장치 пусковая установка
기이	기이 奇異; ~하다 странный; причудливый; удивительный; ~함 странность; причудливость; удивительность; ~하게 странно; причудливо; удивительно; ~한 옷차림 причудливый наряд
절반	절반 折半; половина; ~씩 나누다 делить пополам (надвое)
비추다	освещать; озарять; просвечивать (что-л. лучами); отражаться; быть отражённым; 전등으로 어구운 구석을 ~ освещать фонарём тёмные уголки; 가로등이 잠시 비추더니 꺼져버렸다 Фонари посветили и потухли.
맨발	голые (необутые) ноги; ~로 босиком; ~(을) 벗다 быть босым (разутым)
슬리퍼	슬리퍼 slippers; комнатные туфли; тапочки
드러내다	обнаруживать; выявлять; проявлять; показывать; обнажать; выражать; 대단한 재능을 ~ обнаружить большие способности
모퉁이	угол; закоулок; уголок; часть; 길 ~ поворот дороги; угол улицы; ~를 돌아 за углом
경직	경직 梗直; ~하다 волевой и искренний (прямой); ; 경직 硬直; твёрдость; непреклонность; жёсткость; негибкость; ~된 отверделый; окостенелый; ~하다 отвердеть; окостенеть
바싹	вплотную; плотно; туго; ~ 마르다 засохнуть; пересохнуть; ~ 마른 тощий; кожа до кости; 띠를 ~ 죄다 туго затянуть ремень; 정신을 ~ 차리다 держать себя в руках; сдерживаться
폭력	폭력 暴力; насилие; насильственные действия; ~적 насильственный; ~을 행사하다 применять силу (насилие); действовать насильственными методами; ~ 투쟁 насильственная борьба
되돌아오다	приходить (приезжать) обратно; обратно возвращаться
함정	함정 艦艇; военные корабли и катера; ; 함정 陷穽; яма для ловли животных; ловушка; западня; ∼에 빠지다 попасть в западню; ~에 빠뜨리다 поймать в ловушку
빠뜨리다	подвергать; терять; пропускать; 곤란한 입장에 ~ подвергать трудному положению; 한 줄을 ~ пропускать одну строку; 지갑을 ~ терять кошелёк
구덩이	яма; впадина; ухаб
진상	진상 眞相; действительное положение вещей; действительная картина
경위	경위 涇渭, 經緯; суть дела; ход (обстоятельства) дела; положение вещей; ~를 말하다 рассказывать о том, как всё было
장황	장황 張皇; ~하다 сложный (путаный) и длинный; пространный; нудный; долгий
이튿날	второе число; следующий (другой) день; 칠월 ~ второе июля; ~ 아침 на другое утро
언뜻	мельком; украдкой; неожиданно; внезапно; вдруг; ~ 눈에 띄다 быстро промелькнуть; ~ 보다 мельком взглянуть; бегло просматривать; ~ 생각이 떠오르다 кого осенять мыслью; ~보기에 на первый взгляд
즉시	즉시 卽時; немедленно; незамедлительно; сразу же; ~불 немедленная уплата
주목	주목 朱木; тисе тонкозаострённый; ; 주목 注目; взор; внимание; ~하다 обращать на себя все взоры; обращать внимание
사들이다	закупать; 공장 생산품을 모두 ~ закупать всю продукцию завода; 월동 준비로 장작을 ~ закупать дрова на зиму; 오찬을 위해 식료품을 ~ закупать продукты к обеду; 식품을 대량으로 ~ закупать продукты в большом количестве
결부	결부 結付; ~하다 связывать что с чем; ...에 ~해서 в связи с чем
실험	실험 實驗; эксперимент; опыт; испытание; ~의 экспериментальный; опытный; испытательный; ~된 испытуемый; ~하다 испытывать; экспериментировать над (с) кем-чем; ~중이다 быть на испытании; ~물리학 экспериментальная физика; 원폭 ~ испытание атомных бомб; 핵~ ядерные испытания; 화학 ~ химический эксперимент
발각	발각 發覺; раскрытие; ~되다 обнаруживаться; разоблачаться
착상	착상 着想; мысль; замысел; концепция; ~하다 приходить в голову (о мысли); 기발한 ~이 떠올랐다 Пришла в голову потрясающая идея.; ~을 실현시키다 осуществлять замысел; 작가적 ~ авторский замысел; 전략적 ~ стратегический замысел; 위험한 ~ опасный замысел
잔인	잔인 殘忍; ~하다 жестокий; безжалостный; зверский
썩	очень; хорошо; сразу же; тут же; отчётливо; заметно; ~ 물러가라Пошёл вон!; ~ 좋다 Очень хорошо.; 그는 노래를 ~ 잘 부른다 Он поёт очень хорошо.
어울리다	подходить к кому-чему; быть к лицу; объединяться с кем; общаться с кем; 이 색깔들은 서로 잘 오울린다 Эти цвета хорошо подходит один к другому.; 이 옷이 당신에게 잘 오울린다 Эта одежда вам очень идёт.
작용	작용 作用; действие; процесс; ~하다 действовать; 화학~ химический процесс; ~과 반작용 действие и противодействие (реакция); 상호 ~하다 взаимодействовать
택하다	택하다 擇－; выбирать; избирать; отбирать; предпочитать кого-что кому-чему
보장	보장 保障; гарантия; обеспечение; снабжение; ~하다 гарантировать; обеспечивать; снабжать; 이것은 세계 평화를 ~할 것이다 Это обеспечит мир во всем мире.; 신분 ~ гарантия стабильности; 평화~ обеспечение мира
희생	희생 犧牲; жертва; ~적 героический; самоотверженный; ~하다 жертвовать чем-кем; приносить кого-что в жертву; ~을 치르다 приносить жертвы; 어떠한 ~을 치르더라도 любой ценой; ...을 ~하여 за счет чего; в ущерб чему; ~ 정신 дух самопожертвования
모면	모면 謀免; ~하다 уклоняться; избегать
올라서다	
뻗다	растянуться; слечь; 앞으로 손을 곧게 뻗으세요 Вытяните руки вперед.
금속성	금속성 金屬性; свойства металлов
잡기	잡기 雜技; азартные игры; 주색~ женщины, вино и азартные игры; ; 잡기 雜記; заметки; беспорядочные записи; ~하다 делать беспорядочные записи
쉭쉭	
공격	공격 攻擊; атака; штурм; наступление; нападение; нападки; ~적 наступательный; ~하다 атаковать; штурмовать; наступать; нападать; критиковать; 기습~ внезапное нападение; 정면~ фронтальное наступление; лобовая атака; 측면~ фланговая атака
본성	본성 本性; природа; (подлинный; истинный) характер; сущность; ~을 드러내다 показать своё настоящее лицо
가책	가책 呵責; нагоняй; выговор; встрепка; нахлобучка; 양심의 ~ угрызения совести; раскаяние; ~하다 бранить; ругать; упрекать; укорять
